loan_id,married,self_employed,applicant_income,loan_amount,property_area,loan_status
LP1003,Y,N,4583,128.0,Rural,N
LP1005,Y,Y,3000,66.0,City,Y
LP1006,Y,N,2583,120.0,City,Y
LP1008,N,N,6000,141.0,City,Y
LP1011,Y,Y,5417,267.0,City,Y
LP1013,Y,N,2333,95.0,City,Y
LP1014,Y,N,3036,158.0,Suburb,N
LP1018,Y,N,4006,168.0,City,Y
LP1020,Y,N,12841,349.0,Suburb,N
LP1024,Y,N,3200,70.0,City,Y
LP1027,Y,,2500,109.0,City,Y
LP1028,Y,N,3073,200.0,City,Y
LP1029,N,N,1853,114.0,Rural,N
LP1030,Y,N,1299,17.0,City,Y
LP1032,N,N,4950,125.0,City,Y
LP1034,N,N,3596,100.0,City,Y
LP1036,N,N,3510,76.0,City,N
LP1038,Y,N,4887,133.0,Rural,N
LP1041,Y,,2600,115.0,City,Y
LP1043,Y,N,7660,104.0,City,N
LP1046,Y,N,5955,315.0,City,Y
LP1047,Y,N,2600,116.0,Suburb,N
LP1050,Y,N,3365,112.0,Rural,N
LP1052,Y,,3717,151.0,Suburb,N
LP1066,Y,Y,9560,191.0,Suburb,Y
LP1068,Y,N,2799,122.0,Suburb,Y
LP1073,Y,N,4226,110.0,City,Y
LP1086,N,N,1442,35.0,City,N
LP1087,N,,3750,120.0,Suburb,Y
LP1091,Y,,4166,201.0,City,N
LP1095,N,N,3167,74.0,City,N
LP1097,N,Y,4692,106.0,Rural,N
LP1098,Y,N,3500,114.0,Suburb,Y
LP1100,N,N,12500,320.0,Rural,N
LP1109,Y,N,1828,100.0,City,N
LP1112,Y,N,3667,144.0,Suburb,Y
LP1114,N,N,4166,184.0,City,Y
LP1116,N,N,3748,110.0,Suburb,Y
LP1119,N,N,3600,80.0,City,N
LP1120,N,N,1800,47.0,City,Y
LP1123,Y,N,2400,75.0,City,Y
LP1131,Y,N,3941,134.0,Suburb,Y
LP1136,Y,Y,4695,96.0,City,Y
LP1137,N,N,3410,88.0,City,Y
LP1138,Y,N,5649,44.0,City,Y
LP1144,Y,N,5821,144.0,City,Y
LP1146,Y,N,2645,120.0,City,N
LP1151,N,N,4000,144.0,Suburb,Y
LP1155,Y,N,1928,100.0,Suburb,Y
LP1157,N,N,3086,120.0,Suburb,Y
LP1164,N,N,4230,112.0,Suburb,N
LP1179,Y,N,4616,134.0,City,N
LP1186,Y,Y,11500,286.0,City,N
LP1194,Y,N,2708,97.0,Suburb,Y
LP1195,Y,N,2132,96.0,Suburb,Y
LP1197,Y,N,3366,135.0,Rural,N
LP1198,Y,N,8080,180.0,City,Y
LP1199,Y,N,3357,144.0,City,Y
LP1205,Y,N,2500,120.0,City,Y
LP1206,Y,N,3029,99.0,City,Y
LP1207,Y,Y,2609,165.0,Rural,N
LP1213,Y,N,4945,,Rural,N
LP1222,N,N,4166,116.0,Suburb,N
LP1225,Y,N,5726,258.0,Suburb,N
LP1228,N,N,3200,126.0,City,N
LP1233,Y,N,10750,312.0,City,Y
LP1238,Y,Y,7100,125.0,City,Y
LP1241,N,N,4300,136.0,Suburb,N
LP1243,Y,N,3208,172.0,City,Y
LP1245,Y,Y,1875,97.0,Suburb,Y
LP1248,N,N,3500,81.0,Suburb,Y
LP1250,Y,N,4755,95.0,Suburb,N
LP1253,Y,Y,5266,187.0,Suburb,Y
LP1255,N,N,3750,113.0,City,N
LP1256,N,N,3750,176.0,City,N
LP1259,Y,Y,1000,110.0,City,N
LP1263,Y,N,3167,180.0,Suburb,N
LP1264,Y,Y,3333,130.0,Suburb,Y
LP1265,N,N,3846,111.0,Suburb,Y
LP1267,Y,N,1378,167.0,City,N
LP1273,Y,N,6000,265.0,Suburb,N
LP1275,Y,N,3988,50.0,City,Y
LP1279,N,N,2366,136.0,Suburb,Y
LP1280,Y,N,3333,99.0,Suburb,Y
LP1282,Y,N,2500,104.0,Suburb,Y
LP1289,N,N,8566,210.0,City,Y
LP1310,Y,N,5695,175.0,Suburb,Y
LP1316,Y,N,2958,131.0,Suburb,Y
LP1318,Y,N,6250,188.0,Suburb,Y
LP1319,Y,N,3273,81.0,City,Y
LP1322,N,N,4133,122.0,Suburb,Y
LP1325,N,N,3620,25.0,Suburb,Y
LP1326,N,,6782,,City,N
LP1327,Y,N,2484,137.0,Suburb,Y
LP1333,Y,N,1977,50.0,Suburb,Y
LP1334,Y,N,4188,115.0,Suburb,Y
LP1343,Y,N,1759,131.0,Suburb,Y
LP1345,Y,N,4288,133.0,City,Y
LP1349,N,N,4843,151.0,Suburb,Y
LP1367,Y,N,3052,100.0,City,Y
LP1369,Y,N,11417,225.0,City,Y
LP1370,N,,7333,120.0,Rural,N
LP1379,Y,N,3800,216.0,City,N
LP1384,Y,N,2071,94.0,Suburb,Y
LP1385,N,N,5316,136.0,City,Y
LP1387,Y,,2929,139.0,Suburb,Y
LP1391,Y,N,3572,152.0,Rural,N
LP1398,N,,5050,118.0,Suburb,Y
LP1401,Y,N,14583,185.0,Rural,Y
LP1404,Y,N,3167,154.0,Suburb,Y
LP1405,Y,N,2214,85.0,City,Y
LP1421,Y,N,5568,175.0,Rural,N
LP1422,N,N,10408,259.0,City,Y
LP1426,Y,N,5667,180.0,Rural,Y
LP1430,N,N,4166,44.0,Suburb,Y
LP1431,N,N,2137,137.0,Suburb,Y
LP1432,Y,N,2957,81.0,Suburb,Y
LP1439,Y,N,4300,194.0,Rural,Y
LP1443,N,N,3692,93.0,Rural,Y
LP1448,Y,N,23803,370.0,Rural,Y
LP1451,Y,Y,10513,160.0,City,N
LP1465,Y,N,6080,182.0,Rural,N
LP1469,N,Y,20166,650.0,City,Y
LP1473,N,N,2014,74.0,City,Y
LP1478,N,N,2718,70.0,Suburb,Y
LP1482,Y,Y,3459,25.0,Suburb,Y
LP1487,N,N,4895,102.0,Suburb,Y
LP1488,Y,N,4000,290.0,Suburb,N
LP1489,Y,N,4583,84.0,Rural,N
LP1491,Y,Y,3316,88.0,City,Y
LP1492,N,N,14999,242.0,Suburb,N
LP1493,Y,N,4200,129.0,Rural,N
LP1497,Y,N,5042,185.0,Rural,N
LP1498,N,N,5417,168.0,City,Y
LP1504,N,Y,6950,175.0,Suburb,Y
LP1507,Y,N,2698,122.0,Suburb,Y
LP1508,Y,N,11757,187.0,City,Y
LP1514,Y,N,2330,100.0,Suburb,Y
LP1516,Y,N,14866,70.0,City,Y
LP1518,Y,N,1538,30.0,City,Y
LP1519,N,N,10000,225.0,Rural,N
LP1520,Y,N,4860,125.0,Suburb,Y
LP1528,N,N,6277,118.0,Rural,N
LP1529,Y,Y,2577,152.0,Rural,Y
LP1531,N,N,9166,244.0,City,N
LP1532,Y,N,2281,113.0,Rural,N
LP1535,N,N,3254,50.0,City,Y
LP1536,Y,N,39999,600.0,Suburb,Y
LP1541,Y,N,6000,160.0,Rural,Y
LP1543,Y,N,9538,187.0,City,Y
LP1546,N,,2980,120.0,Rural,Y
LP1552,Y,N,4583,255.0,Suburb,Y
LP1560,Y,N,1863,98.0,Suburb,Y
LP1562,Y,N,7933,275.0,City,N
LP1565,Y,N,3089,121.0,Suburb,N
LP1570,Y,N,4167,158.0,Rural,Y
LP1572,Y,N,9323,75.0,City,Y
LP1574,Y,N,3707,182.0,Rural,Y
LP1577,Y,N,4583,112.0,Rural,N
LP1578,Y,N,2439,129.0,Rural,Y
LP1579,N,N,2237,63.0,Suburb,N
LP1580,Y,N,8000,200.0,Suburb,Y
LP1581,Y,,1820,95.0,Rural,Y
LP1585,Y,N,51763,700.0,City,Y
LP1586,Y,N,3522,81.0,Rural,N
LP1594,Y,N,5708,187.0,Suburb,Y
LP1603,Y,Y,4344,87.0,Suburb,N
LP1606,Y,N,3497,116.0,Rural,Y
LP1608,Y,N,2045,101.0,Rural,Y
LP1610,Y,N,5516,495.0,Suburb,N
LP1616,Y,N,3750,116.0,Suburb,Y
LP1630,N,N,2333,102.0,City,N
LP1633,Y,N,6400,180.0,City,N
LP1634,N,N,1916,67.0,Rural,N
LP1636,Y,N,4600,73.0,Suburb,Y
LP1637,Y,N,33846,260.0,Suburb,N
LP1639,Y,N,3625,108.0,Suburb,Y
LP1640,Y,Y,39147,120.0,Suburb,Y
LP1641,Y,Y,2178,66.0,Rural,N
LP1643,Y,N,2383,58.0,Rural,Y
LP1644,Y,Y,674,168.0,Rural,Y
LP1647,Y,N,9328,188.0,Rural,Y
LP1653,N,N,4885,48.0,Rural,Y
LP1656,N,N,12000,164.0,Suburb,N
LP1657,Y,N,6033,160.0,City,N
LP1658,N,N,3858,76.0,Suburb,Y
LP1664,N,N,4191,120.0,Rural,Y
LP1665,Y,N,3125,170.0,Suburb,N
LP1666,N,N,8333,187.0,Rural,Y
LP1669,N,N,1907,120.0,City,Y
LP1671,Y,N,3416,113.0,Suburb,Y
LP1673,N,Y,11000,83.0,City,N
LP1674,Y,N,2600,90.0,Suburb,Y
LP1677,N,N,4923,166.0,Suburb,Y
LP1682,Y,N,3992,,City,N
LP1688,Y,N,3500,135.0,City,Y
LP1691,Y,N,3917,124.0,Suburb,Y
LP1692,N,N,4408,120.0,Suburb,Y
LP1693,N,N,3244,80.0,City,Y
LP1698,N,N,3975,55.0,Rural,Y
LP1699,N,N,2479,59.0,City,Y
LP1702,N,N,3418,127.0,Suburb,N
LP1708,N,N,10000,214.0,Suburb,N
LP1711,Y,N,3430,128.0,Suburb,N
LP1713,Y,Y,7787,240.0,City,Y
LP1715,Y,Y,5703,130.0,Rural,Y
LP1716,Y,N,3173,137.0,City,Y
LP1720,Y,N,3850,100.0,Suburb,Y
LP1722,Y,N,150,135.0,Rural,N
LP1726,Y,N,3727,131.0,Suburb,Y
LP1732,Y,,5000,72.0,Suburb,N
LP1734,Y,N,4283,127.0,Suburb,Y
LP1736,Y,N,2221,60.0,City,N
LP1743,Y,N,4009,116.0,Suburb,Y
LP1744,N,N,2971,144.0,Suburb,Y
LP1749,Y,N,7578,175.0,Suburb,Y
LP1750,Y,N,6250,128.0,Suburb,Y
LP1751,Y,N,3250,170.0,Rural,N
LP1754,Y,Y,4735,138.0,City,N
LP1758,Y,N,6250,210.0,Suburb,Y
LP1761,N,Y,6400,200.0,Rural,Y
LP1765,Y,N,2491,104.0,Suburb,Y
LP1768,Y,,3716,42.0,Rural,Y
LP1770,N,N,3189,120.0,Rural,Y
LP1776,N,N,8333,280.0,Suburb,Y
LP1778,Y,N,3155,140.0,Suburb,Y
LP1784,Y,N,5500,170.0,Rural,Y
LP1786,Y,,5746,255.0,City,N
LP1788,N,Y,3463,122.0,City,Y
LP1790,N,N,3812,112.0,Rural,Y
LP1792,Y,N,3315,96.0,Suburb,Y
LP1798,Y,N,5819,120.0,Rural,Y
LP1800,Y,N,2510,140.0,City,N
LP1806,N,N,2965,155.0,City,Y
LP1807,Y,Y,6250,108.0,Rural,Y
LP1811,Y,N,3406,123.0,Suburb,Y
LP1813,N,Y,6050,120.0,City,N
LP1814,Y,N,9703,112.0,City,Y
LP1819,Y,N,6608,137.0,City,Y
LP1824,Y,N,2882,123.0,Suburb,Y
LP1825,Y,N,1809,90.0,City,Y
LP1835,Y,N,1668,201.0,Suburb,N
LP1836,N,N,3427,138.0,City,N
LP1841,N,Y,2583,104.0,Rural,Y
LP1843,Y,N,2661,279.0,Suburb,Y
LP1844,N,Y,16250,192.0,City,N
LP1846,N,N,3083,255.0,Rural,Y
LP1849,N,N,6045,115.0,Rural,N
LP1854,Y,N,5250,94.0,City,N
LP1859,Y,N,14683,304.0,Rural,N
LP1864,Y,N,4931,128.0,Suburb,N
LP1865,Y,N,6083,330.0,City,Y
LP1868,N,N,2060,134.0,Suburb,Y
LP1870,N,N,3481,155.0,Suburb,N
LP1871,N,N,7200,120.0,Rural,Y
LP1872,N,Y,5166,128.0,Suburb,Y
LP1875,N,N,4095,151.0,Rural,Y
LP1877,Y,N,4708,150.0,Suburb,Y
LP1882,Y,N,4333,160.0,City,Y
LP1883,N,,3418,135.0,Rural,N
LP1884,N,N,2876,90.0,City,Y
LP1888,N,N,3237,30.0,City,Y
LP1891,Y,N,11146,136.0,City,Y
LP1892,N,N,2833,126.0,Rural,Y
LP1894,Y,N,2620,150.0,Suburb,Y
LP1896,Y,N,3900,90.0,Suburb,Y
LP1900,Y,N,2750,115.0,Suburb,Y
LP1903,Y,N,3993,207.0,Suburb,Y
LP1904,Y,N,3103,80.0,City,Y
LP1907,Y,N,14583,436.0,Suburb,Y
LP1908,Y,N,4100,124.0,Rural,Y
LP1910,N,Y,4053,158.0,City,N
LP1914,Y,N,3927,112.0,Suburb,Y
LP1915,Y,N,2301,78.0,City,Y
LP1917,N,N,1811,54.0,City,Y
LP1922,Y,N,20667,,Rural,N
LP1924,N,N,3158,89.0,Rural,Y
LP1925,N,Y,2600,99.0,Suburb,N
LP1926,Y,N,3704,120.0,Rural,Y
LP1931,N,N,4124,115.0,Suburb,Y
LP1935,N,N,9508,187.0,Rural,Y
LP1936,Y,N,3075,139.0,Rural,Y
LP1938,Y,N,4400,127.0,Suburb,N
LP1940,Y,N,3153,134.0,City,Y
LP1945,N,N,5417,143.0,City,N
LP1947,Y,N,2383,172.0,Suburb,Y
LP1949,Y,,4416,110.0,City,Y
LP1953,Y,N,6875,200.0,Suburb,Y
LP1954,Y,N,4666,135.0,City,Y
LP1955,N,N,5000,151.0,Rural,N
LP1963,Y,N,2014,113.0,City,N
LP1964,Y,N,1800,93.0,City,N
LP1972,Y,N,2875,105.0,Suburb,Y
LP1974,N,N,5000,132.0,Rural,Y
LP1977,Y,N,1625,96.0,City,Y
LP1978,N,N,4000,140.0,Rural,Y
LP1990,N,N,2000,,City,N
LP1993,N,N,3762,135.0,Rural,Y
LP1994,N,N,2400,104.0,City,N
LP1996,N,N,20233,480.0,Rural,N
LP1998,Y,N,7667,185.0,Rural,Y
LP2002,N,N,2917,84.0,Suburb,Y
LP2004,N,N,2927,111.0,Suburb,Y
LP2006,N,N,2507,56.0,Rural,Y
LP2008,Y,Y,5746,144.0,Rural,Y
LP2024,Y,N,2473,159.0,Rural,N
LP2031,Y,N,3399,111.0,City,Y
LP2035,Y,N,3717,120.0,Suburb,Y
LP2036,Y,N,2058,88.0,City,Y
LP2043,N,N,3541,112.0,Suburb,Y
LP2050,Y,Y,10000,155.0,Rural,N
LP2051,Y,N,2400,115.0,Suburb,Y
LP2053,Y,N,4342,124.0,Suburb,Y
LP2055,N,N,3166,132.0,Rural,Y
LP2065,Y,N,15000,300.0,Rural,Y
LP2067,Y,Y,8666,376.0,Rural,N
LP2068,N,N,4917,130.0,Rural,Y
LP2082,Y,Y,5818,184.0,Suburb,Y
LP2086,Y,N,4333,110.0,City,N
LP2087,N,N,2500,67.0,City,Y
LP2097,N,N,4384,117.0,City,Y
LP2098,N,N,2935,98.0,Suburb,Y
LP2100,N,N,2833,71.0,City,Y
LP2101,Y,,63337,490.0,City,Y
LP2103,Y,Y,9833,182.0,City,Y
LP2106,Y,Y,5503,70.0,Suburb,Y
LP2110,Y,,5250,160.0,Rural,Y
LP2112,Y,Y,2500,176.0,Rural,Y
LP2113,N,N,1830,,City,N
LP2114,N,N,4160,71.0,Suburb,Y
LP2115,Y,N,2647,173.0,Rural,N
LP2116,N,N,2378,46.0,Rural,N
LP2119,Y,N,4554,158.0,City,Y
LP2126,Y,N,3173,74.0,Suburb,Y
LP2128,Y,,2583,125.0,Rural,Y
LP2129,Y,N,2499,160.0,Suburb,Y
LP2130,Y,N,3523,152.0,Rural,N
LP2131,Y,N,3083,126.0,City,Y
LP2137,Y,N,6333,259.0,Suburb,Y
LP2138,Y,N,2625,187.0,Rural,Y
LP2139,Y,N,9083,228.0,Suburb,Y
LP2140,N,N,8750,308.0,Rural,N
LP2141,Y,N,2666,95.0,Rural,Y
LP2142,Y,Y,5500,105.0,Rural,N
LP2143,Y,N,2423,130.0,Suburb,Y
LP2144,N,N,3813,116.0,City,Y
LP2149,Y,N,8333,165.0,Rural,Y
LP2151,Y,N,3875,67.0,City,N
LP2158,Y,N,3000,100.0,City,N
LP2160,Y,N,5167,200.0,Suburb,Y
LP2161,N,N,4723,81.0,Suburb,N
LP2170,Y,N,5000,236.0,Suburb,Y
LP2175,Y,N,4750,130.0,City,Y
LP2178,Y,N,3013,95.0,City,Y
LP2180,N,Y,6822,141.0,Rural,Y
LP2181,N,N,6216,133.0,Rural,N
LP2187,N,N,2500,96.0,Suburb,N
LP2188,N,N,5124,124.0,Rural,N
LP2190,Y,N,6325,175.0,Suburb,Y
LP2191,Y,N,19730,570.0,Rural,N
LP2194,N,Y,15759,55.0,Suburb,Y
LP2197,Y,N,5185,155.0,Suburb,Y
LP2201,Y,Y,9323,380.0,Rural,Y
LP2205,N,N,3062,111.0,City,N
LP2209,N,,2764,110.0,City,Y
LP2211,Y,N,4817,120.0,City,Y
LP2219,Y,N,8750,130.0,Rural,Y
LP2223,Y,N,4310,130.0,Suburb,Y
LP2224,N,N,3069,71.0,City,N
LP2225,Y,N,5391,130.0,City,Y
LP2226,Y,,3333,128.0,Suburb,Y
LP2229,N,N,5941,296.0,Suburb,Y
LP2231,N,N,6000,156.0,City,Y
LP2234,N,Y,7167,128.0,City,Y
LP2236,Y,N,4566,100.0,City,N
LP2237,N,,3667,113.0,City,Y
LP2239,N,N,2346,132.0,Suburb,Y
LP2243,Y,N,3010,,City,N
LP2244,Y,N,2333,136.0,City,Y
LP2250,Y,N,5488,125.0,Rural,Y
LP2255,N,N,9167,185.0,Rural,Y
LP2262,Y,N,9504,275.0,Rural,Y
LP2263,Y,N,2583,120.0,City,Y
LP2265,Y,N,1993,113.0,Suburb,Y
LP2266,Y,N,3100,113.0,City,Y
LP2272,Y,N,3276,135.0,Suburb,Y
LP2277,N,N,3180,71.0,City,N
LP2281,Y,N,3033,95.0,City,Y
LP2284,N,N,3902,109.0,Rural,Y
LP2287,N,N,1500,103.0,Suburb,N
LP2288,Y,N,2889,45.0,City,N
LP2296,N,N,2755,65.0,Rural,N
LP2297,N,N,2500,103.0,Suburb,Y
LP2300,N,N,1963,53.0,Suburb,Y
LP2301,N,Y,7441,194.0,Rural,N
LP2305,N,N,4547,115.0,Suburb,Y
LP2308,Y,N,2167,115.0,City,Y
LP2314,N,N,2213,66.0,Rural,Y
LP2315,Y,N,8300,152.0,Suburb,N
LP2317,Y,N,81000,360.0,Rural,N
LP2318,N,Y,3867,62.0,Suburb,N
LP2319,Y,,6256,160.0,City,Y
LP2328,Y,N,6096,218.0,Rural,N
LP2332,Y,N,2253,110.0,Rural,Y
LP2335,Y,N,2149,178.0,Suburb,N
LP2337,N,N,2995,60.0,City,Y
LP2341,N,N,2600,160.0,City,N
LP2342,Y,Y,1600,239.0,City,N
LP2345,Y,N,1025,112.0,Rural,Y
LP2347,Y,N,3246,138.0,Suburb,Y
LP2348,Y,N,5829,138.0,Rural,Y
LP2357,N,N,2720,80.0,City,N
LP2361,Y,N,1820,100.0,City,Y
LP2362,Y,N,7250,110.0,City,N
LP2364,Y,N,14880,96.0,Suburb,Y
LP2366,Y,N,2666,121.0,Rural,Y
LP2367,N,N,4606,81.0,Rural,N
LP2368,Y,N,5935,133.0,Suburb,Y
LP2369,Y,N,2920,87.0,Rural,Y
LP2370,N,N,2717,60.0,City,Y
LP2377,N,Y,8624,150.0,Suburb,Y
LP2379,N,N,6500,105.0,Rural,N
LP2386,N,,12876,405.0,Suburb,Y
LP2387,Y,N,2425,143.0,Suburb,Y
LP2390,N,N,3750,100.0,City,Y
LP2398,N,N,1926,50.0,Suburb,Y
LP2403,N,Y,10416,187.0,City,N
LP2407,Y,Y,7142,138.0,Rural,Y
LP2408,N,N,3660,187.0,Suburb,Y
LP2409,Y,N,7901,180.0,Rural,Y
LP2418,N,N,4707,148.0,Suburb,Y
LP2422,N,N,37719,152.0,Suburb,Y
LP2424,Y,N,7333,175.0,Rural,Y
LP2429,Y,Y,3466,130.0,Rural,Y
LP2434,Y,N,4652,110.0,Rural,Y
LP2435,Y,,3539,55.0,Rural,N
LP2443,Y,N,3340,150.0,Rural,N
LP2444,N,Y,2769,190.0,Suburb,N
LP2446,Y,N,2309,125.0,Rural,N
LP2447,Y,N,1958,60.0,City,Y
LP2448,Y,N,3948,149.0,Rural,N
LP2449,Y,N,2483,90.0,Rural,Y
LP2453,N,Y,7085,84.0,Suburb,Y
LP2455,Y,N,3859,96.0,Suburb,Y
LP2459,Y,N,4301,118.0,City,Y
LP2467,Y,N,3708,173.0,City,N
LP2472,N,N,4354,136.0,Rural,Y
LP2473,Y,N,8334,160.0,Suburb,N
LP2478,Y,Y,2083,160.0,Suburb,Y
LP2484,Y,N,7740,128.0,City,Y
LP2487,Y,N,3015,153.0,Rural,Y
LP2489,N,,5191,132.0,Suburb,Y
LP2493,N,N,4166,98.0,Suburb,N
LP2494,N,N,6000,140.0,Rural,Y
LP2500,Y,N,2947,70.0,City,N
LP2501,Y,N,16692,110.0,Suburb,Y
LP2502,Y,,210,98.0,Suburb,Y
LP2505,Y,N,4333,110.0,City,N
LP2515,Y,Y,3450,162.0,Suburb,Y
LP2517,Y,N,2653,113.0,Rural,N
LP2519,Y,N,4691,100.0,Suburb,Y
LP2522,N,Y,2500,93.0,City,Y
LP2524,N,N,5532,162.0,Rural,Y
LP2527,Y,Y,16525,150.0,Rural,Y
LP2529,Y,N,6700,230.0,Suburb,Y
LP2530,Y,N,2873,132.0,Suburb,N
LP2531,Y,Y,16667,86.0,Suburb,Y
LP2533,Y,N,2947,,City,N
LP2534,N,N,4350,154.0,Rural,Y
LP2536,Y,N,3095,113.0,Rural,Y
LP2537,Y,N,2083,128.0,Suburb,Y
LP2541,Y,N,10833,234.0,Suburb,Y
LP2543,Y,N,8333,246.0,Suburb,Y
LP2544,Y,N,1958,131.0,Rural,Y
LP2545,N,N,3547,80.0,Rural,N
LP2547,Y,N,18333,500.0,City,N
LP2555,Y,Y,4583,160.0,Suburb,Y
LP2556,N,N,2435,75.0,City,N
LP2560,N,N,2699,96.0,Suburb,Y
LP2562,Y,N,5333,186.0,City,Y
LP2571,N,N,3691,110.0,Rural,Y
LP2582,N,Y,17263,225.0,Suburb,Y
LP2585,Y,N,3597,119.0,Rural,N
LP2586,Y,N,3326,105.0,Suburb,Y
LP2587,Y,N,2600,107.0,Rural,Y
LP2588,Y,N,4625,111.0,City,Y
LP2600,Y,Y,2895,95.0,Suburb,Y
LP2602,N,N,6283,209.0,Rural,N
LP2603,N,N,645,113.0,Rural,Y
LP2606,N,N,3159,100.0,Suburb,Y
LP2615,Y,N,4865,208.0,Suburb,Y
LP2618,Y,N,4050,138.0,Rural,N
LP2619,Y,N,3814,124.0,Suburb,Y
LP2622,Y,N,3510,243.0,Rural,Y
LP2624,Y,N,20833,480.0,City,Y
LP2625,N,N,3583,96.0,City,N
LP2626,Y,Y,2479,188.0,City,Y
LP2634,N,N,13262,40.0,City,Y
LP2637,N,N,3598,100.0,Rural,N
LP2640,Y,N,6065,250.0,Suburb,Y
LP2643,Y,N,3283,148.0,City,Y
LP2648,Y,N,2130,70.0,Suburb,N
LP2652,N,N,5815,311.0,Rural,N
LP2659,Y,N,3466,150.0,Rural,Y
LP2670,Y,N,2031,113.0,Suburb,Y
LP2682,Y,N,3074,123.0,Suburb,N
LP2683,N,N,4683,185.0,Suburb,N
LP2684,N,N,3400,95.0,Rural,N
LP2689,Y,N,2192,45.0,Suburb,Y
LP2690,N,N,2500,55.0,Suburb,Y
LP2692,Y,Y,5677,100.0,Rural,Y
LP2693,Y,Y,7948,480.0,Rural,Y
LP2697,N,N,4680,,Suburb,N
LP2699,Y,Y,17500,400.0,Rural,Y
LP2705,Y,N,3775,110.0,Suburb,Y
LP2706,Y,N,5285,161.0,Suburb,Y
LP2714,N,N,2679,94.0,Suburb,Y
LP2716,N,N,6783,130.0,Suburb,Y
LP2717,Y,N,1025,216.0,Rural,Y
LP2720,Y,N,4281,100.0,City,Y
LP2723,N,N,3588,110.0,Rural,N
LP2729,N,N,11250,196.0,Suburb,N
LP2731,N,Y,18165,125.0,City,Y
LP2732,N,,2550,126.0,Rural,Y
LP2734,Y,N,6133,324.0,City,Y
LP2738,N,N,3617,107.0,Suburb,Y
LP2739,Y,N,2917,66.0,Rural,N
LP2740,Y,N,6417,157.0,Rural,Y
LP2741,Y,N,4608,140.0,Suburb,Y
LP2743,N,N,2138,99.0,Suburb,N
LP2753,N,,3652,95.0,Suburb,Y
LP2755,Y,N,2239,128.0,City,Y
LP2757,Y,N,3017,102.0,Suburb,Y
LP2767,Y,N,2768,155.0,Rural,Y
LP2768,N,N,3358,80.0,Suburb,N
LP2772,N,N,2526,145.0,Rural,Y
LP2776,N,N,5000,103.0,Suburb,N
LP2777,Y,N,2785,110.0,Rural,Y
LP2778,Y,Y,6633,,Rural,N
LP2785,Y,N,3333,158.0,City,Y
LP2788,Y,N,2454,181.0,City,N
LP2789,Y,N,3593,132.0,Rural,N
LP2792,Y,N,5468,26.0,Suburb,Y
LP2794,N,N,2667,84.0,City,Y
LP2795,Y,Y,10139,260.0,Suburb,Y
LP2798,Y,N,3887,162.0,Suburb,Y
LP2804,Y,N,4180,182.0,Suburb,Y
LP2807,Y,N,3675,108.0,Suburb,Y
LP2813,Y,Y,19484,600.0,Suburb,Y
LP2820,Y,N,5923,211.0,Rural,Y
LP2821,N,Y,5800,132.0,Suburb,Y
LP2832,Y,N,8799,258.0,City,N
LP2833,Y,N,4467,120.0,Rural,Y
LP2836,N,N,3333,70.0,City,Y
LP2837,Y,N,3400,123.0,Rural,N
LP2840,N,N,2378,9.0,City,N
LP2841,Y,N,3166,104.0,City,N
LP2842,Y,N,3417,186.0,City,Y
LP2847,Y,N,5116,165.0,City,N
LP2855,Y,N,16666,275.0,City,Y
LP2862,Y,N,6125,187.0,Suburb,N
LP2863,Y,N,6406,150.0,Suburb,N
LP2868,Y,N,3159,108.0,City,Y
LP2872,Y,N,3087,136.0,Suburb,N
LP2874,N,N,3229,110.0,City,Y
LP2877,Y,N,1782,107.0,Rural,Y
LP2888,N,,3182,161.0,City,Y
LP2892,Y,N,6540,205.0,Suburb,Y
LP2893,N,N,1836,90.0,City,N
LP2894,Y,N,3166,36.0,Suburb,Y
LP2898,Y,N,1880,61.0,Rural,N
LP2911,Y,N,2787,146.0,Rural,N
LP2912,Y,N,4283,172.0,Rural,N
LP2916,Y,N,2297,104.0,City,Y
LP2917,N,N,2165,70.0,Suburb,Y
LP2925,N,N,4750,94.0,Suburb,Y
LP2926,Y,Y,2726,106.0,Suburb,N
LP2928,Y,N,3000,56.0,Suburb,Y
LP2931,Y,Y,6000,205.0,Suburb,N
LP2933,N,Y,9357,292.0,Suburb,Y
LP2936,Y,N,3859,142.0,Rural,Y
LP2938,Y,Y,16120,260.0,City,Y
LP2940,N,N,3833,110.0,Rural,Y
LP2941,Y,Y,6383,187.0,Rural,N
LP2943,N,N,2987,88.0,Suburb,N
LP2945,Y,Y,9963,180.0,Rural,Y
LP2948,Y,N,5780,192.0,City,Y
LP2949,N,,416,350.0,City,N
LP2950,Y,,2894,155.0,Rural,Y
LP2953,Y,N,5703,128.0,City,Y
LP2958,N,N,3676,172.0,Rural,Y
LP2959,Y,N,12000,496.0,Suburb,Y
LP2960,Y,N,2400,,City,N
LP2961,Y,N,3400,173.0,Suburb,Y
LP2964,Y,N,3987,157.0,Rural,Y
LP2974,Y,N,3232,108.0,Rural,Y
LP2979,Y,N,4106,40.0,Rural,Y
LP2983,Y,N,8072,253.0,City,Y
LP2984,Y,N,7583,187.0,City,Y
LP2990,N,Y,4583,133.0,Suburb,N
